Timestamp,Resistance,Interval,Temperature,OldTimestamp
2019-05-11 08:20:47.300,1256,0.813008,32.18,1557562847300
2019-05-11 08:21:47.500,1179,0.862784,32.16,1557562907500
2019-05-11 08:23:47.800,1464,0.8296,32.0,1557563027800
2019-05-11 08:28:18.500,1378,0.265472,31.95,1557563298500
2019-05-11 08:33:49.400,1037,0.66368,31.32,1557563629400
2019-05-11 08:38:50.200,1152,0.8296,31.69,1557563930200
2019-05-11 08:39:20.300,1164,0.895968,31.94,1557563960300
2019-05-11 08:47:21.600,716,0.813008,33.81,1557564441600
2019-05-11 08:47:51.700,668,0.74664,33.83,1557564471700
2019-05-11 08:52:52.500,912,0.74664,34.44,1557564772500
2019-05-11 08:54:22.800,1323,0.763232,34.15,1557564862800
2019-05-11 08:58:23.400,192,0.447984,32.29,1557565103400
2019-05-11 09:10:25.400,217,0.696864,30.9,1557565825400
2019-05-11 09:13:25.900,159,0.74664,31.0,1557566005900
2019-05-11 09:18:56.800,214,0.730048,30.88,1557566336800
2019-05-11 09:20:27.000,201,0.879376,30.95,1557566427000
2019-05-11 09:23:57.600,227,0.91256,30.92,1557566637600
2019-05-11 09:27:28.200,236,0.779824,30.95,1557566848200
2019-05-11 09:31:28.800,258,1.012112,30.99,1557567088800
2019-05-11 09:37:29.800,357,0.315248,30.98,1557567449800
2019-05-11 09:50:01.900,379,0.929152,30.95,1557568201900
2019-05-11 09:53:32.400,378,1.061888,31.0,1557568412400
2019-05-11 09:58:03.100,244,0.779824,31.06,1557568683100
2019-05-11 10:04:34.200,233,0.779824,31.29,1557569074200
2019-05-11 10:07:34.700,230,1.343952,31.28,1557569254700
2019-05-11 10:09:35.000,264,0.16592,31.21,1557569375000
2019-05-11 10:10:05.100,285,0.879376,31.23,1557569405100
2019-05-11 10:22:37.100,244,0.796416,31.07,1557570157100
2019-05-11 10:26:07.700,315,0.696864,31.2,1557570367700
2019-05-11 10:27:38.000,255,0.132736,31.23,1557570458000
2019-05-11 10:30:08.400,306,1.211216,31.17,1557570608400
2019-05-11 10:32:08.700,314,1.57624,31.12,1557570728700
2019-05-11 10:32:38.800,306,0.862784,31.12,1557570758800
2019-05-11 10:35:39.300,393,0.846192,31.17,1557570939300
2019-05-11 10:36:39.400,350,0.696864,31.18,1557570999400
2019-05-11 10:37:39.600,374,0.613904,31.17,1557571059600
2019-05-11 10:38:39.800,274,0.66368,31.27,1557571119800
